,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
28,01/01/2024,20:00,Premier League,Matchweek 20,Mon,Away,L,2,4,Liverpool,0.6,7,39,57471,Dan Burn,04/03/2003,Anthony Taylor,Match Report,,5,3,16.1,0,0,0,2024,NewcastleUnited
30,13/01/2024,17:30,Premier League,Matchweek 21,Sat,Home,L,2,3,Manchester City,1.3,3,28,52190,Kieran Trippier,04/03/2003,Chris Kavanagh,Match Report,,12,5,14.7,0,0,0,2024,NewcastleUnited
32,30/01/2024,20:15,Premier League,Matchweek 22,Tue,Away,W,3,1,Aston Villa,2.6,1.4,39,42191,Kieran Trippier,04/03/2003,John Brooks,Match Report,,14,5,11.9,0,0,0,2024,NewcastleUnited
33,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,4,4,Luton Town,2.3,2.4,55,52211,Kieran Trippier,04/03/2003,Thomas Bramall,Match Report,,19,6,16.3,0,0,0,2024,NewcastleUnited
34,10/02/2024,17:30,Premier League,Matchweek 24,Sat,Away,W,3,2,Nott'ham Forest,0.5,1.5,61,29451,Kieran Trippier,04/03/2003,Anthony Taylor,Match Report,,7,5,19.2,0,0,0,2024,NewcastleUnited
35,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,D,2,2,Bournemouth,2.2,2.2,62,52224,Kieran Trippier,04/03/2003,Michael Salisbury,Match Report,,16,4,19.4,0,1,1,2024,NewcastleUnited
36,24/02/2024,20:00,Premier League,Matchweek 26,Sat,Away,L,1,4,Arsenal,0.2,2.8,45,60298,Kieran Trippier,04/03/2003,Paul Tierney,Match Report,,3,2,14.5,0,0,0,2024,NewcastleUnited
38,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Wolves,2.1,0.8,44,52206,Kieran Trippier,04/03/2003,Tim Robinson,Match Report,,14,6,16.3,1,0,0,2024,NewcastleUnited
39,11/03/2024,20:00,Premier League,Matchweek 28,Mon,Away,L,2,3,Chelsea,0.7,1.6,56,37753,Dan Burn,04/03/2003,John Brooks,Match Report,,11,3,16,0,0,0,2024,NewcastleUnited
41,30/03/2024,12:30,Premier League,Matchweek 30,Sat,Home,W,4,3,West Ham,4.1,1.4,60,52199,Jamaal Lascelles,04/03/2003,Robert Jones,Match Report,,22,7,17.6,0,2,2,2024,NewcastleUnited
42,02/04/2024,19:30,Premier League,Matchweek 31,Tue,Home,D,1,1,Everton,2.4,1.4,57,52135,Dan Burn,04/03/2003,Tony Harrington,Match Report,,18,5,15.7,0,0,0,2024,NewcastleUnited
43,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,1,0,Fulham,1,1.2,34,24418,Dan Burn,04/03/2003,Samuel Allison,Match Report,,12,5,16.8,0,0,0,2024,NewcastleUnited
44,13/04/2024,12:30,Premier League,Matchweek 33,Sat,Home,W,4,0,Tottenham,2.8,0.8,28,52147,Dan Burn,04/03/2003,Tim Robinson,Match Report,,18,5,11.1,0,0,0,2024,NewcastleUnited
45,24/04/2024,20:00,Premier League,Matchweek 29,Wed,Away,L,0,2,Crystal Palace,0.4,0.9,53,25002,Dan Burn,03/04/2003,Thomas Bramall,Match Report,,7,2,14.2,0,0,0,2024,NewcastleUnited
46,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Home,W,5,1,Sheffield Utd,3.1,1.5,60,52196,Dan Burn,04/03/2003,Tony Harrington,Match Report,,19,6,16,0,1,1,2024,NewcastleUnited
47,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Away,W,4,1,Burnley,3.4,1,53,21781,Dan Burn,04/04/2002,Anthony Taylor,Match Report,,22,10,17.6,1,0,1,2024,NewcastleUnited
48,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,D,1,1,Brighton,2.2,1.4,57,51997,Dan Burn,04/03/2003,Darren England,Match Report,,18,7,15.8,0,0,0,2024,NewcastleUnited
49,15/05/2024,20:00,Premier League,Matchweek 34,Wed,Away,L,2,3,Manchester Utd,2.2,1.5,55,73582,Kieran Trippier,04/03/2003,Robert Jones,Match Report,,21,7,14.6,0,0,0,2024,NewcastleUnited
50,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,4,2,Brentford,3.4,1.1,46,17124,Dan Burn,04/03/2003,Simon Hooper,Match Report,,12,7,15.4,2,0,0,2024,NewcastleUnited
0,14/08/2023,20:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,73358,Bruno Fernandes,4-1-4-1,Simon Hooper,Match Report,,15,2,14.7,0,0,0,2024,ManchesterUnited
1,19/08/2023,17:30,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45,61910,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,,22,6,15.6,1,0,0,2024,ManchesterUnited
2,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66,73595,Bruno Fernandes,4-2-3-1,Stuart Attwell,Match Report,,17,8,20.3,0,1,1,2024,ManchesterUnited
3,03/09/2023,16:30,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,60192,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,,10,2,16.5,0,0,0,2024,ManchesterUnited
4,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,1.7,44,73592,Bruno Fernandes,4-1-2-1-2◆,Jarred Gillett,Match Report,,14,4,18.6,1,0,0,2024,ManchesterUnited
6,23/09/2023,20:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,1.1,39,21593,Bruno Fernandes,4-2-3-1,Tony Harrington,Match Report,,11,4,15,0,0,0,2024,ManchesterUnited
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,73428,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,,19,3,15.5,0,0,0,2024,ManchesterUnited
10,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,73453,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,,21,8,18.3,1,0,0,2024,ManchesterUnited
11,21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,31543,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,,14,5,20.6,1,0,0,2024,ManchesterUnited
13,29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0.9,4,40,73502,Bruno Fernandes,4-2-3-1,Paul Tierney,Match Report,,7,3,15.2,0,0,0,2024,ManchesterUnited
15,04/11/2023,12:30,Premier League,Matchweek 11,Sat,Away,W,1,0,Fulham,0.7,1,55,24415,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,,12,5,18.3,1,0,0,2024,ManchesterUnited
17,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,W,1,0,Luton Town,2.2,0.4,64,73599,Bruno Fernandes,4-2-3-1,Graham Scott,Match Report,,15,4,14,1,0,0,2024,ManchesterUnited
18,26/11/2023,16:30,Premier League,Matchweek 13,Sun,Away,W,3,0,Everton,2.2,2.4,49,39257,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,,8,3,17.4,0,1,1,2024,ManchesterUnited
20,02/12/2023,20:00,Premier League,Matchweek 14,Sat,Away,L,0,1,Newcastle Utd,0.5,2.4,42,52214,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,,8,1,18.2,0,0,0,2024,ManchesterUnited
21,06/12/2023,20:15,Premier League,Matchweek 15,Wed,Home,W,2,1,Chelsea,4.1,1.5,45,73607,Bruno Fernandes,4-2-3-1,Chris Kavanagh,Match Report,,27,8,15.4,1,0,1,2024,ManchesterUnited
22,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,L,0,3,Bournemouth,1.1,1.5,68,73427,Bruno Fernandes,4-2-3-1,Peter Bankes,Match Report,,20,3,15.4,0,0,0,2024,ManchesterUnited
24,17/12/2023,16:30,Premier League,Matchweek 17,Sun,Away,D,0,0,Liverpool,0.8,2.3,32,57158,Scott McTominay,4-2-3-1,Michael Oliver,Match Report,,6,1,16.3,0,0,0,2024,ManchesterUnited
25,23/12/2023,12:30,Premier League,Matchweek 18,Sat,Away,L,0,2,West Ham,1,1.2,65,64472,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,,11,3,18.1,0,0,0,2024,ManchesterUnited
26,26/12/2023,20:00,Premier League,Matchweek 19,Tue,Home,W,3,2,Aston Villa,1.1,1.7,46,73574,Bruno Fernandes,4-2-3-1,Craig Pawson,Match Report,,13,7,18,1,0,0,2024,ManchesterUnited
27,30/12/2023,17:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Nott'ham Forest,0.8,0.7,56,29529,Bruno Fernandes,4-2-3-1,Tim Robinson,Match Report,,10,5,17.5,0,0,0,2024,ManchesterUnited
29,14/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,D,2,2,Tottenham,0.8,1.2,37,73489,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,,9,2,14.5,1,0,0,2024,ManchesterUnited
31,01/02/2024,20:15,Premier League,Matchweek 22,Thu,Away,W,4,3,Wolves,3.3,2.1,47,31641,Bruno Fernandes,4-2-3-1,Jarred Gillett,Match Report,,21,8,18.2,2,0,0,2024,ManchesterUnited
32,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,W,3,0,West Ham,0.7,1.4,51,73612,Bruno Fernandes,4-2-3-1,Andy Madley,Match Report,,12,5,20.4,0,0,0,2024,ManchesterUnited
33,11/02/2024,16:30,Premier League,Matchweek 24,Sun,Away,W,2,1,Aston Villa,1.8,2.4,44,42185,Bruno Fernandes,4-2-3-1,Robert Jones,Match Report,,17,5,14.6,0,0,0,2024,ManchesterUnited
34,18/02/2024,16:30,Premier League,Matchweek 25,Sun,Away,W,2,1,Luton Town,2.9,1.8,42,11483,Bruno Fernandes,4-2-3-1,David Coote,Match Report,,21,8,19.8,2,0,0,2024,ManchesterUnited
35,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,L,1,2,Fulham,1.7,1.2,57,73487,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,,21,8,17.3,0,0,0,2024,ManchesterUnited
37,03/03/2024,15:30,Premier League,Matchweek 27,Sun,Away,L,1,3,Manchester City,0.2,3.3,27,53514,Bruno Fernandes,4-2-4-0,Andy Madley,Match Report,,3,1,16.7,0,0,0,2024,ManchesterUnited
38,09/03/2024,12:30,Premier League,Matchweek 28,Sat,Home,W,2,0,Everton,2.7,1.6,51,73601,Bruno Fernandes,4-2-4-0,Simon Hooper,Match Report,,13,6,17.6,1,2,2,2024,ManchesterUnited
40,30/03/2024,20:00,Premier League,Matchweek 30,Sat,Away,D,1,1,Brentford,0.6,3.2,53,17138,Bruno Fernandes,4-2-3-1,Simon Hooper,Match Report,,11,5,22.5,0,0,0,2024,ManchesterUnited
41,04/04/2024,20:15,Premier League,Matchweek 31,Thu,Away,L,3,4,Chelsea,1.5,3,43,39694,Bruno Fernandes,4-2-3-1,Jarred Gillett,Match Report,,19,5,16.8,0,0,0,2024,ManchesterUnited
42,07/04/2024,15:30,Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,0.7,3.6,38,73501,Bruno Fernandes,4-2-3-1,Anthony Taylor,Match Report,,9,5,18.1,0,0,0,2024,ManchesterUnited
43,13/04/2024,17:30,Premier League,Matchweek 33,Sat,Away,D,2,2,Bournemouth,1.2,1.6,57,11229,Bruno Fernandes,4-2-3-1,Tony Harrington,Match Report,,7,1,20.6,0,1,1,2024,ManchesterUnited
45,24/04/2024,20:00,Premier League,Matchweek 29,Wed,Home,W,4,2,Sheffield Utd,2.9,0.8,71,73549,Bruno Fernandes,4-2-3-1,Michael Salisbury,Match Report,,24,12,16.9,0,1,1,2024,ManchesterUnited
46,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Home,D,1,1,Burnley,2.7,2.1,48,73571,Bruno Fernandes,4-2-3-1,John Brooks,Match Report,,27,10,18,0,0,0,2024,ManchesterUnited
47,06/05/2024,20:00,Premier League,Matchweek 36,Mon,Away,L,0,4,Crystal Palace,0.4,1.7,57,25190,Casemiro,4-2-3-1,Jarred Gillett,Match Report,,7,2,16.7,1,0,0,2024,ManchesterUnited
48,12/05/2024,16:30,Premier League,Matchweek 37,Sun,Home,L,0,1,Arsenal,0.5,1.5,54,73600,Scott McTominay,4-2-3-1,Paul Tierney,Match Report,,14,2,22.9,0,0,0,2024,ManchesterUnited
49,15/05/2024,20:00,Premier League,Matchweek 34,Wed,Home,W,3,2,Newcastle Utd,1.5,2.2,45,73582,Bruno Fernandes,4-2-2-2,Robert Jones,Match Report,,17,8,15.2,0,0,0,2024,ManchesterUnited
50,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,W,2,0,Brighton,1.3,1.7,45,31662,Bruno Fernandes,4-2-2-2,Craig Pawson,Match Report,,11,4,17,0,0,0,2024,ManchesterUnited
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38,11245,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,,16,2,16.1,0,0,0,2024,WestHamUnited
1,20/08/2023,16:30,Premier League,Matchweek 2,Sun,Home,W,3,1,Chelsea,1.8,2.5,25,62451,Kurt Zouma,4-2-3-1,John Brooks,Match Report,,11,5,19.6,0,1,1,2024,WestHamUnited
2,26/08/2023,17:30,Premier League,Matchweek 3,Sat,Away,W,3,1,Brighton,3,1.5,22,31508,Kurt Zouma,4-1-4-1,Anthony Taylor,Match Report,,12,7,12.3,0,0,0,2024,WestHamUnited
3,01/09/2023,20:00,Premier League,Matchweek 4,Fri,Away,W,2,1,Luton Town,1,1.4,61,10802,Kurt Zouma,4-2-3-1,Paul Tierney,Match Report,,9,3,16.3,0,0,0,2024,WestHamUnited
4,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Manchester City,0.9,3.6,32,62475,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,,6,3,12.1,0,0,0,2024,WestHamUnited
6,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Liverpool,1.1,3,37,50136,Kurt Zouma,4-2-3-1,Chris Kavanagh,Match Report,,11,4,13.5,0,0,0,2024,WestHamUnited
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2.1,1.1,52,62459,Kurt Zouma,4-2-3-1,Graham Scott,Match Report,,20,8,12.6,1,0,0,2024,WestHamUnited
10,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.2,2,36,62473,Kurt Zouma,4-2-3-1,Peter Bankes,Match Report,,5,3,14.9,1,0,0,2024,WestHamUnited
11,22/10/2023,16:30,Premier League,Matchweek 9,Sun,Away,L,1,4,Aston Villa,1.1,1.9,42,41734,Kurt Zouma,4-2-3-1,David Coote,Match Report,,14,4,15.2,1,0,0,2024,WestHamUnited
13,29/10/2023,13:00,Premier League,Matchweek 10,Sun,Home,L,0,1,Everton,0.7,0.8,64,62469,Kurt Zouma,4-2-3-1,Stuart Attwell,Match Report,,12,2,17.3,0,0,0,2024,WestHamUnited
15,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,L,2,3,Brentford,1.8,1.5,42,17103,James Ward-Prowse,04/04/2002,Thomas Bramall,Match Report,,12,2,15.3,0,0,0,2024,WestHamUnited
17,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Home,W,3,2,Nott'ham Forest,1.8,1.7,54,62470,Kurt Zouma,4-2-3-1,Michael Salisbury,Match Report,,16,6,18,1,0,0,2024,WestHamUnited
18,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,W,2,1,Burnley,0.9,1.3,50,21319,Kurt Zouma,4-2-3-1,Samuel Barrott,Match Report,,11,3,13.2,0,0,0,2024,WestHamUnited
20,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,D,1,1,Crystal Palace,1.1,0.9,55,62414,Tomáš Souček,4-2-3-1,Michael Oliver,Match Report,,9,3,15.7,1,0,0,2024,WestHamUnited
21,07/12/2023,20:15,Premier League,Matchweek 15,Thu,Away,W,2,1,Tottenham,2.2,1.8,26,61171,Kurt Zouma,04/03/2003,Michael Salisbury,Match Report,,11,5,15,0,0,0,2024,WestHamUnited
22,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Away,L,0,5,Fulham,1.3,2.3,37,23988,Kurt Zouma,4-4-1-1,Paul Tierney,Match Report,,9,5,19.2,1,0,0,2024,WestHamUnited
24,17/12/2023,14:00,Premier League,Matchweek 17,Sun,Home,W,3,0,Wolves,1.1,0.7,45,62455,Kurt Zouma,4-2-3-1,Chris Kavanagh,Match Report,,13,4,19.8,2,0,0,2024,WestHamUnited
26,23/12/2023,12:30,Premier League,Matchweek 18,Sat,Home,W,2,0,Manchester Utd,1.2,1,35,64472,Kurt Zouma,4-2-3-1,Simon Hooper,Match Report,,12,5,13.8,0,0,0,2024,WestHamUnited
27,28/12/2023,20:15,Premier League,Matchweek 19,Thu,Away,W,2,0,Arsenal,1.4,2.7,27,60261,Angelo Ogbonna,4-2-3-1,Michael Oliver,Match Report,,5,2,17.4,0,0,1,2024,WestHamUnited
28,02/01/2024,19:30,Premier League,Matchweek 20,Tue,Home,D,0,0,Brighton,0.7,2.3,32,62462,Angelo Ogbonna,4-2-3-1,Samuel Barrott,Match Report,,6,2,16,0,0,0,2024,WestHamUnited
31,21/01/2024,14:00,Premier League,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2.3,2.5,43,29164,Kurt Zouma,4-4-1-1,Michael Salisbury,Match Report,,15,4,14.9,0,1,1,2024,WestHamUnited
32,01/02/2024,19:30,Premier League,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1.4,1.2,48,62478,Kurt Zouma,4-3-2-1,Tim Robinson,Match Report,,8,2,17.1,0,1,1,2024,WestHamUnited
33,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Away,L,0,3,Manchester Utd,1.4,0.7,49,73612,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,,22,3,18.9,1,0,0,2024,WestHamUnited
34,11/02/2024,14:00,Premier League,Matchweek 24,Sun,Home,L,0,6,Arsenal,0.2,3.6,30,62475,Kurt Zouma,4-2-3-1,Craig Pawson,Match Report,,5,1,19.9,0,0,0,2024,WestHamUnited
35,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,L,0,2,Nott'ham Forest,0.5,2.8,51,29490,Kurt Zouma,4-2-3-1,Thomas Bramall,Match Report,,10,3,18.9,1,0,0,2024,WestHamUnited
36,26/02/2024,20:00,Premier League,Matchweek 26,Mon,Home,W,4,2,Brentford,1.7,0.9,41,62450,Kurt Zouma,4-2-3-1,Simon Hooper,Match Report,,17,6,17.7,0,0,0,2024,WestHamUnited
37,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,W,3,1,Everton,1.9,2.7,45,39262,Kurt Zouma,4-2-3-1,Craig Pawson,Match Report,,12,5,14.2,0,0,0,2024,WestHamUnited
39,10/03/2024,14:00,Premier League,Matchweek 28,Sun,Home,D,2,2,Burnley,2.1,0.7,52,62441,Tomáš Souček,4-2-3-1,Darren England,Match Report,,22,4,14.8,0,0,0,2024,WestHamUnited
41,17/03/2024,14:00,Premier League,Matchweek 29,Sun,Home,D,1,1,Aston Villa,2,0.7,31,62461,Kurt Zouma,4-2-3-1,Jarred Gillett,Match Report,,13,4,15.9,1,0,0,2024,WestHamUnited
42,30/03/2024,12:30,Premier League,Matchweek 30,Sat,Away,L,3,4,Newcastle Utd,1.4,4.1,40,52199,Kurt Zouma,4-2-3-1,Robert Jones,Match Report,,10,4,14.1,0,0,0,2024,WestHamUnited
43,02/04/2024,20:15,Premier League,Matchweek 31,Tue,Home,D,1,1,Tottenham,1.5,1,33,62469,Kurt Zouma,04/05/2001,John Brooks,Match Report,,11,4,16.6,1,0,0,2024,WestHamUnited
44,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,2,1,Wolves,1.2,1.5,42,31504,Kurt Zouma,4-2-3-1,Tony Harrington,Match Report,,10,3,24.6,2,1,1,2024,WestHamUnited
46,14/04/2024,14:00,Premier League,Matchweek 33,Sun,Home,L,0,2,Fulham,0.9,3.2,58,62459,Łukasz Fabiański,4-2-3-1,Stuart Attwell,Match Report,,15,4,16.2,0,0,0,2024,WestHamUnited
48,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Away,L,2,5,Crystal Palace,1.3,2.4,40,25145,Kurt Zouma,4-2-3-1,Graham Scott,Match Report,,4,1,10.8,0,0,0,2024,WestHamUnited
49,27/04/2024,12:30,Premier League,Matchweek 35,Sat,Home,D,2,2,Liverpool,0.7,1.7,29,62474,Kurt Zouma,4-2-3-1,Anthony Taylor,Match Report,,11,8,17,0,0,0,2024,WestHamUnited
50,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,5,Chelsea,0.9,4.1,31,39295,Kurt Zouma,4-2-3-1,Andy Madley,Match Report,,13,2,17.6,2,0,0,2024,WestHamUnited
51,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,W,3,1,Luton Town,3.2,0.3,58,62475,Kurt Zouma,4-2-3-1,Michael Oliver,Match Report,,24,8,16.5,1,0,0,2024,WestHamUnited
52,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,3,Manchester City,0.4,1.9,29,55097,Kurt Zouma,03/04/2003,John Brooks,Match Report,,3,2,10.3,0,0,0,2024,WestHamUnited
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Sheffield Utd,1.9,0.5,68,31194,Joel Ward,4-2-3-1,John Brooks,Match Report,,24,8,18.5,1,0,0,2024,CrystalPalace
1,21/08/2023,20:00,Premier League,Matchweek 2,Mon,Home,L,0,1,Arsenal,1,2,47,24189,Joel Ward,4-2-3-1,David Coote,Match Report,,14,2,16.4,1,0,0,2024,CrystalPalace
2,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Brentford,0.8,1,40,16997,Joel Ward,4-2-3-1,Peter Bankes,Match Report,,15,5,16.9,1,0,0,2024,CrystalPalace
4,03/09/2023,14:00,Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,2.1,1.2,43,24741,Joel Ward,04/03/2003,Robert Jones,Match Report,,16,10,13.8,1,0,0,2024,CrystalPalace
5,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,L,1,3,Aston Villa,1.2,3,34,40809,Joel Ward,4-4-1-1,Darren England,Match Report,,6,3,16.1,0,0,0,2024,CrystalPalace
6,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Home,D,0,0,Fulham,0.3,0.6,51,25072,Joel Ward,4-2-3-1,Paul Tierney,Match Report,,7,3,18.9,1,0,0,2024,CrystalPalace
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Away,W,1,0,Manchester Utd,0.9,1.3,23,73428,Joel Ward,04/03/2003,Chris Kavanagh,Match Report,,8,2,13.5,0,0,0,2024,CrystalPalace
9,07/10/2023,17:30,Premier League,Matchweek 8,Sat,Home,D,0,0,Nott'ham Forest,0.8,1,52,25017,Marc Guéhi,04/03/2003,Craig Pawson,Match Report,,8,2,15.2,0,0,0,2024,CrystalPalace
10,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,L,0,4,Newcastle Utd,1.2,2.4,41,52189,Joel Ward,04/03/2003,Tim Robinson,Match Report,,17,3,17.8,1,0,0,2024,CrystalPalace
11,27/10/2023,20:00,Premier League,Matchweek 10,Fri,Home,L,1,2,Tottenham,0.6,1.1,25,25074,Joel Ward,4-2-3-1,Andy Madley,Match Report,,13,3,17.2,0,0,0,2024,CrystalPalace
12,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,W,2,0,Burnley,1.3,1.1,33,21578,Joel Ward,4-2-3-1,Peter Bankes,Match Report,,4,3,13.9,0,0,0,2024,CrystalPalace
13,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,L,2,3,Everton,2.2,1.5,67,25103,Joel Ward,4-2-3-1,Samuel Barrott,Match Report,,12,3,17.9,0,1,1,2024,CrystalPalace
14,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,L,1,2,Luton Town,1.6,0.9,61,11029,Joel Ward,4-2-3-1,Jarred Gillett,Match Report,,16,8,16.3,1,0,0,2024,CrystalPalace
15,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Away,D,1,1,West Ham,0.9,1.1,45,62414,Joel Ward,04/03/2003,Michael Oliver,Match Report,,9,2,17.4,1,0,0,2024,CrystalPalace
16,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Home,L,0,2,Bournemouth,1,1.8,59,25078,Joel Ward,4-2-3-1,Craig Pawson,Match Report,,16,3,18.9,1,0,0,2024,CrystalPalace
17,09/12/2023,12:30,Premier League,Matchweek 16,Sat,Home,L,1,2,Liverpool,1.7,1.2,24,25103,Joel Ward,04/03/2003,Andy Madley,Match Report,,7,3,17.4,0,1,1,2024,CrystalPalace
18,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Away,D,2,2,Manchester City,1.8,1.6,26,53248,Joel Ward,05/04/2001,Paul Tierney,Match Report,,4,1,21.1,1,1,1,2024,CrystalPalace
19,21/12/2023,20:00,Premier League,Matchweek 18,Thu,Home,D,1,1,Brighton,1.3,1.2,35,24171,Marc Guéhi,04/03/2003,John Brooks,Match Report,,11,3,13.4,0,0,0,2024,CrystalPalace
20,27/12/2023,19:30,Premier League,Matchweek 19,Wed,Away,L,1,2,Chelsea,1.1,2.6,37,39618,Marc Guéhi,04/03/2003,Michael Salisbury,Match Report,,13,5,19.6,2,0,0,2024,CrystalPalace
21,30/12/2023,15:00,Premier League,Matchweek 20,Sat,Home,W,3,1,Brentford,1,1.4,46,25472,Marc Guéhi,04/03/2003,Robert Jones,Match Report,,13,6,16.2,0,0,0,2024,CrystalPalace
24,20/01/2024,12:30,Premier League,Matchweek 21,Sat,Away,L,0,5,Arsenal,0.3,3.3,40,60284,Marc Guéhi,03/04/2003,Paul Tierney,Match Report,,12,5,24.4,2,0,0,2024,CrystalPalace
25,30/01/2024,20:00,Premier League,Matchweek 22,Tue,Home,W,3,2,Sheffield Utd,1.1,0.8,53,24781,Marc Guéhi,04/03/2003,Tony Harrington,Match Report,,12,4,17.1,0,0,0,2024,CrystalPalace
26,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Away,L,1,4,Brighton,0.3,1.4,32,31345,Marc Guéhi,04/03/2003,Simon Hooper,Match Report,,7,5,20.6,0,0,0,2024,CrystalPalace
27,12/02/2024,20:00,Premier League,Matchweek 24,Mon,Home,L,1,3,Chelsea,0.6,1.4,23,25110,Joachim Andersen,4-1-4-1,Michael Oliver,Match Report,,13,4,18.7,0,0,0,2024,CrystalPalace
28,19/02/2024,20:00,Premier League,Matchweek 25,Mon,Away,D,1,1,Everton,0.7,1.7,39,38164,Joel Ward,03/04/2003,Paul Tierney,Match Report,,10,3,13,0,0,0,2024,CrystalPalace
29,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,W,3,0,Burnley,2.4,0.1,56,24042,Joel Ward,03/04/2003,Lewis Smith,Match Report,,14,5,15.3,1,1,1,2024,CrystalPalace
30,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,L,1,3,Tottenham,0.3,1.9,22,61339,Joel Ward,03/04/2003,John Brooks,Match Report,,4,1,18.6,1,0,0,2024,CrystalPalace
